Order_ID,Order_Date,Product_ID,Product_Name,Category,Supplier_ID,Supplier_Name,Warehouse,Region,Quantity_Ordered,Quantity_Sold,Unit_Cost,Unit_Price,Inventory_Level,Reorder_Level,Lead_Time_Days,Delivery_Days,Order_Status,Shipping_Cost,Defective_Units,Revenue,Product_Cost,Profit,Profit_Margin,Inventory_Status,Delivery_Delay,Month
ORD100000,2025-01-01,P016,Laptop Sleeve,Accessories,S001,TechSource India,Pune WH,West,16,16,376.09,677.77,94,27,3,2.0,Completed,229.41,0,10844.32,6017.44,4597.47,42.39518937102557,Overstock,-1.0,2025-01
ORD100001,2025-10-29,P010,Desk Lamp,Furniture,S003,Metro Wholesale,Delhi WH,North,13,11,654.21,1079.96,60,18,9,9.0,Completed,178.2,0,11879.560000000001,7196.31,4505.050000000001,37.92270084077188,Overstock,0.0,2025-10
ORD100002,2025-02-12,P017,Water Bottle,Accessories,S006,National Distributors,Pune WH,West,25,22,179.03,355.02,132,49,14,12.0,Completed,336.53,0,7810.44,3938.66,3535.25,45.26313498343244,Normal,-2.0,2025-02
ORD100003,2025-09-25,P014,Printer Paper,Stationery,S004,Reliable Traders,Delhi WH,North,12,11,201.93,340.05,25,35,10,8.0,Completed,161.62,0,3740.55,2221.23,1357.7000000000003,36.296801272540144,Low Stock,-2.0,2025-09
ORD100004,2025-01-07,P002,Mechanical Keyboard,Electronics,S002,Prime Components,Pune WH,West,6,4,1459.92,2309.17,49,15,15,13.0,Completed,106.83,0,9236.68,5839.68,3290.17,35.62069921227107,Overstock,-2.0,2025-01
ORD100005,2025-11-12,P020,Yoga Mat,Sports,S008,Apex Supplies,Mumbai WH,West,13,9,434.01,760.01,112,38,3,5.0,Completed,133.78,0,6840.09,3906.09,2800.22,40.93835022638591,Normal,2.0,2025-11
ORD100006,2025-04-01,P015,Backpack,Accessories,S002,Prime Components,Mumbai WH,West,7,5,738.15,1239.07,41,20,7,7.0,Completed,104.36,0,6195.349999999999,3690.75,2400.2399999999993,38.742605341102596,Normal,0.0,2025-04
ORD100007,2025-12-11,P016,Laptop Sleeve,Accessories,S001,TechSource India,Pune WH,West,21,19,332.5,674.81,9,17,14,16.0,Completed,246.99,0,12821.39,6317.5,6256.9,48.800481071085116,Low Stock,2.0,2025-12
ORD100008,2025-06-21,P003,USB-C Cable,Electronics,S004,Reliable Traders,Bengaluru WH,South,25,23,116.94,246.52,94,53,9,11.0,Completed,256.59,0,5669.96,2689.62,2723.75,48.03825776548688,Normal,2.0,2025-06
ORD100009,2025-07-25,P010,Desk Lamp,Furniture,S001,TechSource India,Mumbai WH,West,11,11,629.51,1066.53,39,16,14,14.0,Completed,123.74,0,11731.83,6924.61,4683.4800000000005,39.92113762303068,Normal,0.0,2025-07
ORD100010,2025-06-23,P008,Study Table,Furniture,S005,Urban Supply Co,Pune WH,West,4,1,3148.99,4975.42,10,5,7,,Pending,69.65,0,4975.42,3148.99,1756.7800000000002,35.30917992852865,Normal,,2025-06
