Order_ID,Order_Date,Product_ID,Product_Name,Category,Supplier_ID,Supplier_Name,Warehouse,Region,Quantity_Ordered,Quantity_Sold,Unit_Cost,Unit_Price,Inventory_Level,Reorder_Level,Lead_Time_Days,Delivery_Days,Order_Status,Shipping_Cost,Defective_Units
ORD100000,2025-01-01,P016,Laptop Sleeve,Accessories,S001,TechSource India,Pune WH,West,16,16,376.09,677.77,94,27,3,2,Completed,229.41,0
ORD100001,2025-10-29,P010,Desk Lamp,Furniture,S003,Metro Wholesale,Delhi WH,North,13,11,654.21,1079.96,60,18,9,9,Completed,178.2,0
ORD100002,2025-02-12,P017,Water Bottle,Accessories,S006,National Distributors,Pune WH,West,25,22,179.03,355.02,132,49,14,12,Completed,336.53,0
ORD100003,2025-09-25,P014,Printer Paper,Stationery,S004,Reliable Traders,Delhi WH,North,12,11,201.93,340.05,25,35,10,8,Completed,161.62,0
ORD100004,2025-01-07,P002,Mechanical Keyboard,Electronics,S002,Prime Components,Pune WH,West,6,4,1459.92,2309.17,49,15,15,13,Completed,106.83,0
ORD100005,2025-11-12,P020,Yoga Mat,Sports,S008,Apex Supplies,Mumbai WH,West,13,9,434.01,760.01,112,38,3,5,Completed,133.78,0
ORD100006,2025-04-01,P015,Backpack,Accessories,S002,Prime Components,Mumbai WH,West,7,5,738.15,1239.07,41,20,7,7,Completed,104.36,0
ORD100007,2025-12-11,P016,Laptop Sleeve,Accessories,S001,TechSource India,Pune WH,West,21,19,332.5,674.81,9,17,14,16,Completed,246.99,0
ORD100008,2025-06-21,P003,USB-C Cable,Electronics,S004,Reliable Traders,Bengaluru WH,South,25,23,116.94,246.52,94,53,9,11,Completed,256.59,0
ORD100009,2025-07-25,P010,Desk Lamp,Furniture,S001,TechSource India,Mumbai WH,West,11,11,629.51,1066.53,39,16,14,14,Completed,123.74,0
ORD100010,2025-06-23,P008,Study Table,Furniture,S005,Urban Supply Co,Pune WH,West,4,1,3148.99,4975.42,10,5,7,,Pending,69.65,0
ORD100011,2025-09-29,P019,Running Shoes,Sports,S004,Reliable Traders,Mumbai WH,West,13,13,1748.22,3026.77,44,20,3,5,Completed,138.46,0
ORD100012,2025-03-20,P013,Marker Set,Stationery,S008,Apex Supplies,Bengaluru WH,South,15,12,108.59,192.51,18,34,7,5,Completed,238.49,1
ORD100013,2025-06-28,P017,Water Bottle,Accessories,S002,Prime Components,Delhi WH,North,22,22,187.01,364.06,68,49,2,1,Completed,207.73,0
ORD100014,2025-03-31,P010,Desk Lamp,Furniture,S003,Metro Wholesale,Pune WH,West,10,1,660.9,1024.82,27,16,5,,Pending,108.37,0
ORD100015,2025-10-14,P004,Bluetooth Speaker,Electronics,S006,National Distributors,Pune WH,West,7,7,901.97,1655.63,8,12,14,17,Completed,94.47,0
ORD100016,2025-11-09,P011,Notebook Pack,Stationery,S006,National Distributors,Pune WH,West,35,32,85.03,166.27,25,34,13,13,Completed,446.39,2
ORD100017,2025-07-15,P001,Wireless Mouse,Electronics,S003,Metro Wholesale,Delhi WH,North,15,10,82.21,146.99,72,35,5,8,Completed,115.62,0
ORD100018,2025-08-15,P017,Water Bottle,Accessories,S008,Apex Supplies,Bengaluru WH,South,19,18,182.56,363.5,125,50,12,10,Completed,139.67,1
